product_id,avg_rating,rating_count,weighted_score
B005LJQPE0,4.9523809523809526,105,4.888746514649278
B0033PRWSW,4.91542288557214,201,4.882432326102242
B007SZ0E1K,4.885802469135802,324,4.865748060708941
B003FVVMS0,4.8728522336769755,873,4.865412436044686
B00006I53W,4.940476190476191,84,4.863351697340962
B004EBUXHQ,4.90625,128,4.8560908540835905
B0029N3U8K,4.8734177215189876,316,4.853173938751137
B000053HC5,4.916666666666667,96,4.850272655340082
B004FA8NOQ,4.908256880733945,109,4.849815009874945
B001BTCSI6,4.9,120,4.847096532463816
